id,sleep_date,total_sleep_records,total_minutes_asleep,total_time_in_bed,sleep_efficiency,type_of_sleeper
1503960366,2016-01-05,1,369,396,0.93,Restorative Sleeper
1503960366,2016-02-05,1,277,309,0.90,Average Sleeper
1503960366,2016-03-05,1,273,296,0.92,Restorative Sleeper
1503960366,2016-04-13,2,384,407,0.94,Restorative Sleeper
1503960366,2016-04-15,1,412,442,0.93,Restorative Sleeper
1503960366,2016-04-16,2,340,367,0.93,Restorative Sleeper
1503960366,2016-04-17,1,700,712,0.98,Restorative Sleeper
1503960366,2016-04-19,1,304,320,0.95,Restorative Sleeper
1503960366,2016-04-20,1,360,377,0.95,Restorative Sleeper
1503960366,2016-04-21,1,325,364,0.89,Average Sleeper
1503960366,2016-04-23,1,361,384,0.94,Restorative Sleeper
1503960366,2016-04-24,1,430,449,0.96,Restorative Sleeper
1503960366,2016-04-25,1,277,323,0.86,Average Sleeper
1503960366,2016-04-26,1,245,274,0.89,Average Sleeper
1503960366,2016-04-28,1,366,393,0.93,Restorative Sleeper
1503960366,2016-04-29,1,341,354,0.96,Restorative Sleeper
1503960366,2016-04-30,1,404,425,0.95,Restorative Sleeper
1503960366,2016-05-05,1,247,264,0.94,Restorative Sleeper
1503960366,2016-06-05,1,334,367,0.91,Restorative Sleeper
1503960366,2016-07-05,1,331,349,0.95,Restorative Sleeper
1503960366,2016-08-05,1,594,611,0.97,Restorative Sleeper
1503960366,2016-09-05,1,338,342,0.99,Restorative Sleeper
1503960366,2016-10-05,1,383,403,0.95,Restorative Sleeper
1503960366,2016-11-05,1,285,306,0.93,Restorative Sleeper
1503960366,2016-12-04,1,327,346,0.95,Restorative Sleeper
1644430081,2016-02-05,1,796,961,0.83,Average Sleeper
1644430081,2016-04-29,1,119,127,0.94,Restorative Sleeper
1644430081,2016-04-30,1,124,142,0.87,Average Sleeper
1644430081,2016-08-05,1,137,154,0.89,Average Sleeper
1844505072,2016-01-05,1,590,961,0.61,Restless
1844505072,2016-04-15,1,644,961,0.67,Restless
1844505072,2016-04-30,1,722,961,0.75,Average Sleeper
1927972279,2016-04-13,1,398,422,0.94,Restorative Sleeper
1927972279,2016-04-15,2,475,499,0.95,Restorative Sleeper
1927972279,2016-04-26,1,296,315,0.94,Restorative Sleeper
1927972279,2016-04-28,1,166,178,0.93,Restorative Sleeper
1927972279,2016-12-04,3,750,775,0.97,Restorative Sleeper
2026352035,2016-01-05,1,527,546,0.97,Restorative Sleeper
2026352035,2016-02-05,1,511,543,0.94,Restorative Sleeper
2026352035,2016-04-05,1,538,560,0.96,Restorative Sleeper
2026352035,2016-04-13,1,531,565,0.94,Restorative Sleeper
2026352035,2016-04-14,1,545,568,0.96,Restorative Sleeper
2026352035,2016-04-15,1,523,573,0.91,Restorative Sleeper
2026352035,2016-04-16,1,524,567,0.92,Restorative Sleeper
2026352035,2016-04-17,1,437,498,0.88,Average Sleeper
2026352035,2016-04-19,1,498,540,0.92,Restorative Sleeper
2026352035,2016-04-20,1,461,510,0.90,Restorative Sleeper
2026352035,2016-04-21,1,477,514,0.93,Restorative Sleeper
2026352035,2016-04-22,1,520,545,0.95,Restorative Sleeper
2026352035,2016-04-23,1,522,554,0.94,Restorative Sleeper
2026352035,2016-04-24,1,555,591,0.94,Restorative Sleeper
2026352035,2016-04-25,1,506,531,0.95,Restorative Sleeper
2026352035,2016-04-27,1,508,545,0.93,Restorative Sleeper
2026352035,2016-04-28,1,513,545,0.94,Restorative Sleeper
2026352035,2016-04-29,1,490,510,0.96,Restorative Sleeper
2026352035,2016-04-30,1,573,607,0.94,Restorative Sleeper
2026352035,2016-05-05,1,468,485,0.96,Restorative Sleeper
2026352035,2016-06-05,1,524,548,0.96,Restorative Sleeper
2026352035,2016-07-05,1,511,521,0.98,Restorative Sleeper
2026352035,2016-08-05,1,541,568,0.95,Restorative Sleeper
2026352035,2016-09-05,1,531,556,0.96,Restorative Sleeper
2026352035,2016-10-05,1,357,380,0.94,Restorative Sleeper
2026352035,2016-11-05,1,523,553,0.95,Restorative Sleeper
2026352035,2016-12-04,1,503,546,0.92,Restorative Sleeper
2026352035,2016-12-05,1,456,485,0.94,Restorative Sleeper
2320127002,2016-04-23,1,61,69,0.88,Average Sleeper
2347167796,2016-04-13,1,467,531,0.88,Average Sleeper
2347167796,2016-04-14,1,445,489,0.91,Restorative Sleeper
2347167796,2016-04-15,1,452,504,0.90,Average Sleeper
2347167796,2016-04-17,1,556,602,0.92,Restorative Sleeper
2347167796,2016-04-18,1,500,557,0.90,Average Sleeper
2347167796,2016-04-19,1,465,514,0.90,Restorative Sleeper
2347167796,2016-04-21,1,460,484,0.95,Restorative Sleeper
2347167796,2016-04-22,1,405,461,0.88,Average Sleeper
2347167796,2016-04-23,1,374,386,0.97,Restorative Sleeper
2347167796,2016-04-24,1,442,459,0.96,Restorative Sleeper
2347167796,2016-04-25,1,433,471,0.92,Restorative Sleeper
2347167796,2016-04-26,1,436,490,0.89,Average Sleeper
2347167796,2016-04-27,1,448,499,0.90,Average Sleeper
2347167796,2016-04-28,1,408,450,0.91,Restorative Sleeper
2347167796,2016-04-29,1,411,473,0.87,Average Sleeper
3977333714,2016-01-05,1,383,626,0.61,Restless
3977333714,2016-02-05,1,230,384,0.60,Restless
3977333714,2016-03-05,1,292,500,0.58,Restless
3977333714,2016-04-05,1,213,336,0.63,Restless
3977333714,2016-04-13,2,295,456,0.65,Restless
3977333714,2016-04-14,1,291,397,0.73,Restless
3977333714,2016-04-15,1,424,556,0.76,Average Sleeper
3977333714,2016-04-16,1,283,510,0.55,Restless
3977333714,2016-04-17,1,381,566,0.67,Restless
3977333714,2016-04-18,2,412,522,0.79,Average Sleeper
3977333714,2016-04-19,1,219,395,0.55,Restless
3977333714,2016-04-20,2,152,305,0.50,Restless
3977333714,2016-04-21,1,332,512,0.65,Restless
3977333714,2016-04-22,1,355,476,0.75,Restless
3977333714,2016-04-23,1,235,372,0.63,Restless
3977333714,2016-04-24,1,310,526,0.59,Restless
3977333714,2016-04-25,1,262,467,0.56,Restless
3977333714,2016-04-26,1,250,371,0.67,Restless
3977333714,2016-04-27,1,349,540,0.65,Restless
3977333714,2016-04-28,1,261,423,0.62,Restless
3977333714,2016-04-29,1,333,478,0.70,Restless
3977333714,2016-04-30,1,237,382,0.62,Restless
3977333714,2016-05-05,1,318,480,0.66,Restless
3977333714,2016-06-05,1,323,512,0.63,Restless
3977333714,2016-07-05,1,237,443,0.53,Restless
3977333714,2016-08-05,2,259,456,0.57,Restless
3977333714,2016-10-05,1,312,452,0.69,Restless
3977333714,2016-12-04,1,274,469,0.58,Restless
4020332650,2016-03-05,1,322,332,0.97,Restorative Sleeper
4020332650,2016-04-05,1,478,536,0.89,Average Sleeper
4020332650,2016-04-16,1,77,77,1.00,Restorative Sleeper
4020332650,2016-05-05,1,226,248,0.91,Restorative Sleeper
4020332650,2016-06-05,1,385,408,0.94,Restorative Sleeper
4020332650,2016-08-05,1,364,402,0.91,Restorative Sleeper
4020332650,2016-10-05,1,442,494,0.89,Average Sleeper
4020332650,2016-12-04,1,501,541,0.93,Restorative Sleeper
4319703577,2016-01-05,1,484,500,0.97,Restorative Sleeper
4319703577,2016-02-05,1,478,506,0.94,Restorative Sleeper
4319703577,2016-03-05,1,474,512,0.93,Restorative Sleeper
4319703577,2016-04-14,1,535,557,0.96,Restorative Sleeper
4319703577,2016-04-15,1,465,491,0.95,Restorative Sleeper
4319703577,2016-04-16,1,506,522,0.97,Restorative Sleeper
4319703577,2016-04-18,1,515,551,0.93,Restorative Sleeper
4319703577,2016-04-19,2,461,498,0.93,Restorative Sleeper
4319703577,2016-04-20,1,523,543,0.96,Restorative Sleeper
4319703577,2016-04-21,1,59,65,0.91,Restorative Sleeper
4319703577,2016-04-22,1,533,550,0.97,Restorative Sleeper
4319703577,2016-04-23,1,692,722,0.96,Restorative Sleeper
4319703577,2016-04-24,1,467,501,0.93,Restorative Sleeper
4319703577,2016-04-25,1,488,506,0.96,Restorative Sleeper
4319703577,2016-04-26,1,505,516,0.98,Restorative Sleeper
4319703577,2016-04-27,1,286,307,0.93,Restorative Sleeper
4319703577,2016-04-28,1,497,522,0.95,Restorative Sleeper
4319703577,2016-04-29,1,523,546,0.96,Restorative Sleeper
4319703577,2016-04-30,1,490,516,0.95,Restorative Sleeper
4319703577,2016-06-05,1,450,491,0.92,Restorative Sleeper
4319703577,2016-07-05,1,507,530,0.96,Restorative Sleeper
4319703577,2016-08-05,1,602,638,0.94,Restorative Sleeper
4319703577,2016-09-05,1,535,565,0.95,Restorative Sleeper
4319703577,2016-10-05,1,487,517,0.94,Restorative Sleeper
4319703577,2016-11-05,1,529,558,0.95,Restorative Sleeper
4319703577,2016-12-05,1,302,321,0.94,Restorative Sleeper
4388161847,2016-01-05,1,547,597,0.92,Restorative Sleeper
4388161847,2016-02-05,2,368,376,0.98,Restorative Sleeper
4388161847,2016-04-05,1,390,414,0.94,Restorative Sleeper
4388161847,2016-04-15,1,499,526,0.95,Restorative Sleeper
4388161847,2016-04-16,2,426,448,0.95,Restorative Sleeper
4388161847,2016-04-17,2,619,641,0.97,Restorative Sleeper
4388161847,2016-04-18,1,99,104,0.95,Restorative Sleeper
4388161847,2016-04-19,1,329,338,0.97,Restorative Sleeper
4388161847,2016-04-20,1,421,451,0.93,Restorative Sleeper
4388161847,2016-04-21,1,442,458,0.97,Restorative Sleeper
4388161847,2016-04-22,1,82,85,0.96,Restorative Sleeper
4388161847,2016-04-23,1,478,501,0.95,Restorative Sleeper
4388161847,2016-04-24,3,552,595,0.93,Restorative Sleeper
4388161847,2016-04-26,1,319,346,0.92,Restorative Sleeper
4388161847,2016-04-27,1,439,500,0.88,Average Sleeper
4388161847,2016-04-28,1,428,458,0.93,Restorative Sleeper
4388161847,2016-04-30,2,409,430,0.95,Restorative Sleeper
4388161847,2016-05-05,1,471,495,0.95,Restorative Sleeper
4388161847,2016-07-05,1,472,496,0.95,Restorative Sleeper
4388161847,2016-08-05,2,529,541,0.98,Restorative Sleeper
4388161847,2016-09-05,1,62,65,0.95,Restorative Sleeper
4388161847,2016-10-05,1,354,375,0.94,Restorative Sleeper
4388161847,2016-11-05,1,469,494,0.95,Restorative Sleeper
4445114986,2016-01-05,2,439,459,0.96,Restorative Sleeper
4445114986,2016-02-05,1,502,542,0.93,Restorative Sleeper
4445114986,2016-03-05,2,417,450,0.93,Restorative Sleeper
4445114986,2016-04-05,2,337,363,0.93,Restorative Sleeper
4445114986,2016-04-13,2,370,406,0.91,Restorative Sleeper
4445114986,2016-04-14,1,441,492,0.90,Average Sleeper
4445114986,2016-04-15,2,337,379,0.89,Average Sleeper
4445114986,2016-04-16,1,462,499,0.93,Restorative Sleeper
4445114986,2016-04-17,1,98,107,0.92,Restorative Sleeper
4445114986,2016-04-19,2,388,424,0.92,Restorative Sleeper
4445114986,2016-04-20,1,439,462,0.95,Restorative Sleeper
4445114986,2016-04-21,1,436,469,0.93,Restorative Sleeper
4445114986,2016-04-22,1,388,417,0.93,Restorative Sleeper
4445114986,2016-04-25,1,328,345,0.95,Restorative Sleeper
4445114986,2016-04-26,2,353,391,0.90,Restorative Sleeper
4445114986,2016-04-27,1,332,374,0.89,Average Sleeper
4445114986,2016-04-28,1,419,442,0.95,Restorative Sleeper
4445114986,2016-04-29,1,106,108,0.98,Restorative Sleeper
4445114986,2016-04-30,1,322,353,0.91,Restorative Sleeper
4445114986,2016-05-05,2,462,513,0.90,Restorative Sleeper
4445114986,2016-06-05,2,374,402,0.93,Restorative Sleeper
4445114986,2016-07-05,2,401,436,0.92,Restorative Sleeper
4445114986,2016-08-05,1,361,391,0.92,Restorative Sleeper
4445114986,2016-09-05,1,457,533,0.86,Average Sleeper
4445114986,2016-10-05,1,405,426,0.95,Restorative Sleeper
4445114986,2016-11-05,1,499,530,0.94,Restorative Sleeper
4445114986,2016-12-04,2,429,457,0.94,Restorative Sleeper
4445114986,2016-12-05,1,483,501,0.96,Restorative Sleeper
4558609924,2016-01-05,1,115,129,0.89,Average Sleeper
